Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,TotalIncome,TotalIncome_log
LP001002,Male,No,Graduate,No,5849,0.0,146,360,1,Urban,true,4.866324565936641,5849.0,8.674196940225903
LP001003,Male,Yes,Graduate,No,4583,1508.0,128,360,1,Rural,false,4.859812404361672,6091.0,8.714731714015052
LP001005,Male,Yes,Graduate,Yes,3000,0.0,66,360,1,Urban,true,4.204692619390966,3000.0,8.006700845440367
LP001006,Male,Yes,Not Graduate,No,2583,2358.0,120,360,1,Urban,true,4.795790545596741,4941.0,8.505525386548555
LP001008,Male,No,Graduate,No,6000,0.0,141,360,1,Urban,true,4.955827057601261,6000.0,8.699681400989514
LP001011,Male,Yes,Graduate,Yes,5417,4196.0,267,360,1,Urban,true,5.5909869805108565,9613.0,9.170975648453906
LP001013,Male,Yes,Not Graduate,No,2333,1516.0,95,360,1,Urban,true,4.564348191467836,3849.0,8.25582842728183
LP001014,Male,Yes,Graduate,No,3036,2504.0,158,360,0,Semiurban,false,5.0689042022202315,5540.0,8.61993026886735
LP001018,Male,Yes,Graduate,No,4006,1526.0,168,360,1,Urban,true,5.1298987149230735,5532.0,8.618485442898109
LP001020,Male,Yes,Graduate,No,12841,10968.0,349,360,1,Semiurban,false,5.857933154483459,23809.0,10.077860939480908
LP001024,Male,Yes,Graduate,No,3200,700.0,70,360,1,Urban,true,4.2626798770413155,3900.0,8.268988209506656
LP001027,Male,Yes,Graduate,No,2500,1840.0,109,360,1,Urban,true,4.700480365792417,4340.0,8.375860015299594
LP001028,Male,Yes,Graduate,No,3073,8106.0,200,360,1,Urban,true,5.303304908059076,11179.0,9.32188174670909
LP001029,Male,No,Graduate,No,1853,2840.0,114,360,1,Rural,false,4.74493212836325,4693.0,8.454040376410969
LP001030,Male,Yes,Graduate,No,1299,1086.0,17,120,1,Urban,true,2.8903717578961645,2385.0,7.777373602657861
LP001032,Male,No,Graduate,No,4950,0.0,125,360,1,Urban,true,4.836281906951478,4950.0,8.507344855361422
LP001034,Male,No,Not Graduate,No,3596,0.0,100,240,1,Urban,true,4.61512051684126,3596.0,8.187855443695623
LP001036,Female,No,Graduate,No,3510,0.0,76,360,0,Urban,false,4.343805421853684,3510.0,8.163656176168432
LP001038,Male,Yes,Not Graduate,No,4887,0.0,133,360,1,Rural,false,4.897839799950911,4887.0,8.494538500851432
LP001041,Male,Yes,Graduate,No,2600,3500.0,115,84,1,Urban,true,4.7535901911063645,6100.0,8.716207971151853
LP001043,Male,Yes,Not Graduate,No,7660,0.0,104,360,0,Urban,false,4.653960350157523,7660.0,8.94389780251682
LP001046,Male,Yes,Graduate,No,5955,5625.0,315,360,1,Urban,true,5.755742213586912,11580.0,9.357121103184378
LP001047,Male,Yes,Not Graduate,No,2600,1911.0,116,360,0,Semiurban,false,4.762173934797756,4511.0,8.414495793177895
LP001050,Male,Yes,Not Graduate,No,3365,1917.0,112,360,0,Rural,false,4.727387818712341,5282.0,8.572249397164315
LP001052,Male,Yes,Graduate,No,3717,2925.0,151,360,1,Semiurban,false,5.0238805208462765,6642.0,8.80131894766524
LP001066,Male,Yes,Graduate,Yes,9560,0.0,191,360,1,Semiurban,true,5.2574953720277815,9560.0,9.165447603085447
LP001068,Male,Yes,Graduate,No,2799,2253.0,122,360,1,Semiurban,true,4.812184355372417,5052.0,8.527737405291909
LP001073,Male,Yes,Not Graduate,No,4226,1040.0,110,360,1,Urban,true,4.709530201312334,5266.0,8.569216219483389
LP001086,Male,No,Not Graduate,No,1442,0.0,35,360,1,Urban,false,3.58351893845611,1442.0,7.274479558773871
LP001087,Female,No,Graduate,No,3750,2083.0,120,360,1,Semiurban,true,4.795790545596741,5833.0,8.671458150427666
LP001091,Male,Yes,Graduate,No,4166,3369.0,201,360,1,Urban,false,5.308267697401205,7535.0,8.927446816256198
